Time,TP PRELAZ 056_A+_001,TP PRELAZ 056_A-_101,TP CELJSKA CESTA 2694_A+_201,TP CELJSKA CESTA 2694_A-_301,TP BENCINSKI SERVIS 3 2781_A+_401,TP BENCINSKI SERVIS 3 2781_A-_501
,kW,kW,kW,kW,kW,kW
02/01/2023 00:45,0,0,44.08,0,8.112,0
02/01/2023 01:00,0,0,44.64,0,8.484,0
02/01/2023 01:15,0,0,41.92,0,7.632,0
02/01/2023 01:30,0,0,42.4,0,7.188,0
02/01/2023 01:45,0,0,43.44,0,6.468,0
02/01/2023 02:00,0,0,39.84,0,7.824,0
02/01/2023 02:15,0,0,39.04,0,7.752,0
02/01/2023 02:30,0,0,41.44,0,7.512,0
02/01/2023 02:45,0,0,42.56,0,7.584,0
02/01/2023 03:00,0,0,40.08,0,6.612,0
02/01/2023 03:15,0,0,43.28,0,6.6,0
02/01/2023 03:30,0,0,42.72,0,8.22,0
02/01/2023 03:45,0,0,41.28,0,7.872,0
02/01/2023 04:00,0,0,40,0,7.344,0
02/01/2023 04:15,0,0,38,0,7.536,0
02/01/2023 04:30,0,0,38.08,0,8.292,0
02/01/2023 04:45,0,0,36.56,0,10.68,0
02/01/2023 05:00,0,0,38.72,0,9.756,0
02/01/2023 05:15,0,0,41.12,0,9.852,0
02/01/2023 05:30,0,0,40.16,0,9.612,0
02/01/2023 05:45,0,0,38.4,0,8.724,0
02/01/2023 06:00,0,0,39.28,0,9.252,0
02/01/2023 06:15,0,0,40.08,0,8.58,0
02/01/2023 06:30,0,0,39.92,0,8.376,0
02/01/2023 06:45,0,0,40.56,0,6.432,0
02/01/2023 07:00,0,0,42.4,0,8.664,0
02/01/2023 07:15,0,0,42.4,0,8.292,0
02/01/2023 07:30,0,0,42.56,0,8.088,0
02/01/2023 07:45,0,0,41.84,0,9.132,0
02/01/2023 08:00,0,0,38.48,0,12.768,0
02/01/2023 08:15,0,0,41.6,0,13.776,0
02/01/2023 08:30,0,0,45.04,0,15.348,0
02/01/2023 08:45,0,0,43.76,0,15.384,0
02/01/2023 09:00,0,0,44.48,0,15.06,0
02/01/2023 09:15,0,0,45.2,0,17.796,0
02/01/2023 09:30,0,0,46.64,0,15.696,0
