n_repeats,n_bootstrap_samples,DesisionTreeRegressor_mse,SVR_mse,KNeighborsRegressor_mse,MLPRegressor_mse
0,0,0.550472647187694,0.38688619739514796,0.4964788662503855,0.6297641351134508
0,1,0.547831171413588,0.38688619739514796,0.4964788662503855,0.8746311040155702
0,2,0.5522591656985364,0.38688619739514796,0.4964788662503855,0.62217254080093
1,0,0.560898770140666,0.35929778301856624,0.5075763047359283,0.7240589435385542
1,1,0.5575345947159511,0.35929778301856624,0.5075763047359283,0.796447623521173
1,2,0.560898770140666,0.35929778301856624,0.5075763047359283,0.7901709195702732
2,0,0.5328504729399698,0.38768141938632616,0.4928417343898114,4.46772057676306
2,1,0.53285047293997,0.38768141938632616,0.4928417343898114,7.985325729993298
2,2,0.5328504729399698,0.38768141938632616,0.4928417343898114,24.113999876302803
3,0,0.5647812256956714,0.39485287960287396,0.5692983912523214,1.6016761130523332
3,1,0.5607476596273483,0.39485287960287396,0.5692983912523214,0.5243433740506601
3,2,0.5602509978953372,0.39485287960287396,0.5692983912523214,0.6462981787130531
4,0,0.5321021801448529,0.3508892905955711,0.509026730633453,0.6009017609900092
4,1,0.5292004864801441,0.3508892905955711,0.509026730633453,1.3769446912707493
4,2,0.5321021801448529,0.3508892905955711,0.509026730633453,0.5149779286277627
5,0,0.6234870760905803,0.33748372326274984,0.5537294431280857,3.3840163424844314
5,1,0.6234870760905804,0.33748372326274984,0.5537294431280857,1.3672819248050045
5,2,0.626007380654138,0.33748372326274984,0.5537294431280857,1.3687456201474144
6,0,0.596211272377105,0.36997011666375695,0.5599691048518929,0.6772380614583452
6,1,0.5918583260174747,0.36997011666375695,0.5599691048518929,0.6406359127557603
6,2,0.5962112723771051,0.36997011666375695,0.5599691048518929,0.7676575259075824
7,0,0.5941749783810362,0.42956952847844615,0.5644404684260641,0.6081039049285525
7,1,0.5919243360831857,0.42956952847844615,0.5644404684260641,0.6159013141334552
7,2,0.5941749783810366,0.42956952847844615,0.5644404684260641,0.7079494538370193
8,0,0.5519149814699659,0.38833889069678373,0.51366303587762,0.6135878311097029
8,1,0.5519149814699658,0.38833889069678373,0.51366303587762,0.7589166096185487
8,2,0.5465904307970157,0.38833889069678373,0.51366303587762,0.63667890732964
9,0,0.5133678267908295,0.34250401455702334,0.5312836482831574,1.5550304237484813
9,1,0.5153994225326735,0.34250401455702334,0.5312836482831574,1.7635794773217526
9,2,0.5172970197163427,0.34250401455702334,0.5312836482831574,2.6913803318164495
