n_repeats,n_split,DesisionTreeRegressor_mse,SVR_mse,KNeighborsRegressor_mse,MLPRegressor_mse
0,0,0.019740051093357126,0.02517668284695151,0.024313240272702662,0.09204771715096037
0,1,0.014930600879464675,0.019482689888953585,0.024239879872326103,0.04576555998842794
0,2,0.01840818920965535,0.021725332184463136,0.022634895252244477,0.17542492219883687
0,3,0.023299939546468754,0.024439586159174725,0.02432325357739105,0.114298325816728
0,4,0.01685826572405134,0.02100089463342104,0.022153257328061154,0.08080529517371686
1,0,0.019740051093357133,0.02517668284695151,0.024313240272702662,0.16273418229466208
1,1,0.014930600879464677,0.019482689888953585,0.024239879872326103,0.06865927524076611
1,2,0.018408189209655347,0.021725332184463136,0.022634895252244477,0.3527579831334111
1,3,0.02134153186327565,0.024439586159174725,0.02432325357739105,0.10464663574735521
1,4,0.016858265724051337,0.02100089463342104,0.022153257328061154,0.06632057865450858
2,0,0.019740051093357126,0.02517668284695151,0.024313240272702662,0.07959868880716801
2,1,0.014930600879464677,0.019482689888953585,0.024239879872326103,0.5996357591314605
2,2,0.018474802344728897,0.021725332184463136,0.022634895252244477,0.08475269828819064
2,3,0.021341531863275656,0.024439586159174725,0.02432325357739105,0.06784954790706803
2,4,0.016858265724051344,0.02100089463342104,0.022153257328061154,0.07911348250295337
3,0,0.01974005109335713,0.02517668284695151,0.024313240272702662,0.08419451411877128
3,1,0.014986969165105992,0.019482689888953585,0.024239879872326103,0.08205477671351707
3,2,0.018408189209655347,0.021725332184463136,0.022634895252244477,0.08341191854585932
3,3,0.021341531863275656,0.024439586159174725,0.02432325357739105,0.07771436279221687
3,4,0.01685435727602002,0.02100089463342104,0.022153257328061154,0.06977162016553225
4,0,0.019740051093357126,0.02517668284695151,0.024313240272702662,0.25402287783376565
4,1,0.014930600879464675,0.019482689888953585,0.024239879872326103,0.09573163769730898
4,2,0.018408189209655344,0.021725332184463136,0.022634895252244477,0.5870939254467336
4,3,0.021341531863275653,0.024439586159174725,0.02432325357739105,0.10122834218929498
4,4,0.016858265724051344,0.02100089463342104,0.022153257328061154,0.15621186141119012
5,0,0.01974005109335713,0.02517668284695151,0.024313240272702662,0.1241171966260788
5,1,0.014986969165105992,0.019482689888953585,0.024239879872326103,0.3661840113639218
5,2,0.01840818920965535,0.021725332184463136,0.022634895252244477,0.32925661591974387
5,3,0.021341531863275653,0.024439586159174725,0.02432325357739105,0.10259762197883728
