n_repeats,indeks,DesisionTreeRegressor_mse,SVR_mse,KNeighborsRegressor_mse,MLPRegressor_mse
0,0,0.15719662762536735,0.024758608182671053,0.05074080449122042,0.005374244707458551
0,1,0.011928292884877399,0.00934857483894207,0.0002804539108039059,0.03999060642843973
0,2,0.0013755024437438878,0.0012675796921945222,0.005331572449366374,0.17717213908936885
0,3,0.005557934012299369,0.020029771945555733,0.0039184368972396974,0.00349956100578328
0,4,0.013416976901811557,0.04338136625138295,0.028170004311541236,53.595917133154124
0,5,0.017289858873362953,0.006575660661541069,0.002219709930595839,0.0006962440430635072
0,6,0.03567486736031065,0.07638375574224837,0.06408708884633503,234.03467896148973
0,7,0.0003989172293636853,0.0017208881854723873,0.0027341114933594423,0.005676275004950303
0,8,0.003981160940636099,0.0010355322697750981,0.011504153790039086,0.46265311649249846
0,9,0.004144452859324461,0.0005517307792037489,0.005197050640302054,0.006200353559920039
0,10,0.1158449231368913,0.01379615780017124,0.04724175270296051,0.010988327118476672
0,11,0.0008107940849333895,0.0035401655127165216,0.0009936137572580854,0.44699416669946107
0,12,0.0005447159783671616,0.0008985141648064108,1.4049391875187867e-05,0.002392294118957728
0,13,0.003456401209224883,0.0041030815308609764,0.0012060667699289804,0.005362348812500345
0,14,0.010012427377220842,0.006141916368516137,5.472179721956813e-05,266.80400305257444
0,15,0.001014858538795264,7.920343876122022e-05,0.0015871958058519065,0.023588275603968034
0,16,0.028390468794428594,0.03389079930839086,0.05250161515450206,0.09650501625161877
0,17,0.04160309764766561,0.10604148925011496,0.12209142993697475,0.02586833628164604
0,18,0.005521313326175151,0.0030376575825885135,6.760136874373913e-07,0.0493747437098024
0,19,0.0014821170143324751,3.814628159794789e-05,0.002636345021341519,0.4552295369921376
0,20,0.006324742468639114,0.0148647498061274,0.002019093661809224,0.0010720625504790566
0,21,0.014404381710014418,0.007689773242582185,0.026723412891078786,0.14056478103990783
0,22,0.0002585527710289561,0.0020630466579085074,0.00040405946998359535,0.06091563609982932
0,23,0.019909550932389376,0.04903186532073098,0.04510729725942047,2.0345806670227535
0,24,0.24759231565499507,0.2406123541243419,0.24366600583334938,0.24672880862629426
0,25,0.012994092030258877,0.042988491542398664,0.031304371336200607,0.015749034653022437
0,26,0.00031762306410211604,0.001647794333337059,0.020986530966244747,0.3217025739570919
0,27,0.0773731055725382,0.05575618776019816,0.031381556630416044,0.020707064884891043
0,28,0.010725848833848388,0.000631222445139099,0.00023412394851444102,0.2862036990796298
0,29,0.048760073717398,0.00011972363643650672,0.0024443847163908763,0.008431854561694591
0,30,0.003230507228753984,0.0005570549007083248,1.8769594080181813e-05,0.49414362828272695
0,31,0.00038459433919943534,0.0029618457118096835,0.00024301686837601457,0.0012590078128746198
0,32,0.00020275929079171195,0.0021811795239824647,0.002799419395626168,1.592420968720749
0,33,0.0002505816931514239,0.007001140959872352,0.005166769125559936,0.03391806363512929
0,34,0.06129103396244846,0.007344857637584666,0.014384745176568825,0.14178960489039422
0,35,0.016225709499727632,0.0036468575639366538,0.006433978377039052,0.37047978799214726
0,36,0.00011908108613405125,0.006392583127726364,0.00012488652369252755,1.8145970190910017
0,37,5.347508898702071e-07,0.0008277304580873072,0.001495450158832372,0.01442153385125077
0,38,0.002218208095873637,0.00191084890196511,0.0007996235447311026,0.0931957890557075
0,39,0.0005279149743494624,4.897308119089302e-05,4.2242709423519664e-05,0.1151220740014106
0,40,0.0019359703128624649,0.010530678076744812,0.006811675171449756,0.2782747694796686
0,41,0.004736430504785123,0.06141813914439934,0.03275135162562492,0.24537215848490995
0,42,0.0010016671206998073,0.001211578187563926,0.0006650886092186905,0.25341114968934186
0,43,0.06127883689285902,0.07714704638125998,0.06752296903672547,0.14830977311303092
0,44,0.0017298331372420032,0.017415687851403565,0.004516081003119998,0.313356163778479
0,45,0.00013377048588204823,0.010940906389989503,0.0012673701993506533,1.538110449017935
0,46,0.0012043531940206737,0.0028312990990307122,0.003369322081303871,0.12189425171751611
0,47,0.04732248317194328,0.007769712610740469,0.00610682728633592,0.23809502313562464
0,48,0.00322152021852098,0.0015201004993337518,0.0008022217159890506,0.21304108553833317
0,49,0.002978865385282934,0.031088405748334418,0.03113677465242727,0.07788639784893
0,50,0.0004029660017358026,0.001089327696412041,0.008564160760482276,0.012477237529659296
0,51,0.0012337128828471197,0.0001895343728841964,0.002112028636989812,0.012163217948339793
0,52,0.04722615657113557,0.007269916296676159,0.009567386261492066,0.05575377855523655
0,53,0.01690035865911179,0.01653985378122948,0.0012983454170479487,0.038249929306284854
0,54,0.0001274719677240209,0.014014518903696344,0.014579321094756424,27.12559551040078
0,55,0.006069320086449489,0.005545873718416611,0.014234182414827212,0.10489710047673682
0,56,0.25008710204815626,0.3690701030567097,0.3185974994569645,0.8373520020519463
0,57,0.0016580669014768055,0.00817605179523427,0.005602142478902178,221.18104716983936
0,58,0.023944953867336912,0.0002458892755001408,0.0011900721512049994,0.3928897682356397
0,59,0.006404537318252436,0.036425764930266114,0.027679361777001286,0.05887292079027074
0,60,0.009946667107591506,0.10462104006512364,0.09117051585338362,0.09287061736041169
0,61,0.06710673004395751,0.08303994945914556,0.13178830930879204,0.03495865706704193
0,62,0.026757071755135024,0.035028824090571,0.012431819227458901,0.20148880149437848
0,63,0.00029822032452604934,9.443670582818514e-05,0.0043834081902786965,0.0004771824987114023
0,64,0.00015077891332599124,0.005060838782893828,0.004028963665855299,4.13813370402549
0,65,0.6775640110525706,0.6085759033700625,0.5690450418233611,0.5084398609098983
0,66,0.0417858481748929,2.44566608803147e-07,2.8000716067898274e-05,0.005621722960029247
0,67,0.009405308163220905,2.8241971194821437e-06,0.0033938634906485257,0.08519067926146165
0,68,0.0034743188841635064,0.000832363588811238,0.00013172786675417854,0.25790754678526523
0,69,3.6037044945506103e-06,8.483423632711625e-06,0.001033982228616719,0.20225021381787284
0,70,0.001855833853944251,0.004130182918725274,0.002849108627623934,0.023669804374631974
0,71,0.030133311136398527,0.0048494951043630665,0.00017169423607265414,4.341497446054755
0,72,0.0015446747652844003,0.01132396250725149,0.03294633464338997,0.7318020364362837
0,73,1.6458957319132943e-06,0.0008367250127613809,0.006076456241843215,0.005535268463778681
0,74,0.002010357807109675,0.007111480244268313,0.001281505378406111,0.018992035165065365
0,75,0.027638849860442197,0.04184848363351675,0.009932265911736,0.00041356203276658103
0,76,0.0030799589827015376,0.01619068967868354,0.029231397915589583,9.098813832434058e-05
0,77,0.004334800259888349,0.0002337918682949222,0.0005140379975127087,0.011140451278426377
0,78,0.0031718281232054404,0.04036104383804619,0.04611505242146469,0.08447012804730945
0,79,0.08715539368127449,0.11873694603193638,0.15333099371301004,1.3774955295651314
0,80,0.0006847127468244299,0.010661400252560212,0.0008402975126087347,0.32894979548519043
0,81,0.003053213390779814,0.013535960617510428,0.013105434572125658,0.014941940118388168
0,82,6.717223950562838e-05,0.06474086511063577,0.04784448350471202,1.0608571134702331
0,83,0.018069873167939086,0.039365205047879645,0.04291565778168238,0.7489737451078666
0,84,0.01572610614378811,0.002281756614038222,0.0011461208297253527,0.05093565090856734
0,85,0.09950037002086075,0.0801364692384405,0.08153457475879645,0.024329541817784427
0,86,0.16045161687267595,0.17863814354169794,0.22747420832298373,15.810727928687935
0,87,0.0185692611755621,0.0005208959262532833,4.019977499747567e-05,6.784183575462138
0,88,0.0001993090648088179,0.00044044927435653563,0.0005668276615488272,0.13387652924327778
0,89,6.922204937674727e-05,0.005785229357219624,0.005293051475394903,24.35579044054425
0,90,0.0633991657987654,0.03615809235392436,0.026038197605196222,0.5664800983985869
0,91,0.01897051258022829,0.00013890681909159403,6.0550753380995936e-05,0.08432921131243837
0,92,0.0008609767293080918,0.0007153254103262523,0.0021658688187036947,0.3810933177806399
0,93,0.0014360749037271414,0.0027469851974616906,0.0010571787795045755,0.008362701294234519
0,94,0.07874143039362386,0.03719051913191326,0.06109840301057967,7.030143655377158
0,95,0.10052172467806071,0.039379885779929104,0.07544433318524248,0.0648768441978923
0,96,0.0007226729347266205,2.4689762387496887e-05,0.0017226303878815127,0.01493885157062923
0,97,0.00032307197475193105,0.0009581208023526525,0.00010843699550031501,0.03662872260108874
0,98,0.041557785480883985,0.1434031820345463,0.111543858492326,0.024876056721235287
0,99,0.025520146745133254,0.0035671899868508316,0.0053671157759256245,3.144247482649821
1,0,0.15719662762536735,0.024758608182671053,0.05074080449122042,0.1206077156765198
1,1,0.01192829288487735,0.00934857483894207,0.0002804539108039059,1.10746955228275
1,2,0.0013755024437438878,0.0012675796921945222,0.005331572449366374,1.1772353526252846
