n_repeats,indeks,DesisionTreeRegressor_mse,SVR_mse,KNeighborsRegressor_mse,MLPRegressor_mse
8,10,3.222265146336639,2.8296441468720466,2.89567852343024,2.566994818611122
8,11,1.515213882356706,1.6409260201219837,1.0552138049665876,7.524860788882733
8,12,0.43683821012408086,0.015632035288399914,0.052805643051287196,1.183892012674848
8,13,0.836833070600751,0.6379691445111529,0.5708114033888126,0.5617180802665266
8,14,0.9476716097539832,1.6071625708902861,1.9825144026865902,6.307442289031502
8,15,0.02585174455696139,0.6539095959316157,0.6419402121566304,0.26946024217706604
8,16,0.01570348804020506,0.09984918055836405,0.17247341381845332,0.0034338933954749322
8,17,0.6047968556507594,1.1678237449476543,1.2831544252125757,0.6313270586159675
8,18,0.18973698011914408,0.33952904845657567,0.34895867588686924,0.2244953306169361
8,19,0.13653165651581892,0.21367753075439902,0.34815122513875274,9.605184234334827
8,20,0.5578512858643657,0.6577024488497724,0.7542462071517386,5.347299770698334
8,21,0.08075849335643306,0.39636101499973125,0.43487453823199135,0.09599173730395656
8,22,0.25198825147831566,0.00021358379353840455,0.01428287849886812,2.466556073651349
8,23,0.6574626368308087,0.0008921634475406168,0.029933263437314915,0.2396838878638582
8,24,0.34686221627828906,0.830158694809724,1.0713733158196377,0.05953693631757087
8,25,0.005484268438469266,0.08476963140111175,0.24989322941957498,0.004595389105651789
8,26,1.5574289625363,0.972738890521732,1.217740708065997,0.09623874478516027
8,27,2.4006383932706488,1.13817782267386,1.423268085916636,3.286512438873749
8,28,0.0004326302598328392,0.1605991582219697,0.21594078203199726,0.5349840800121555
8,29,0.06036155617616078,0.004979818336340101,0.0018840281931532955,0.0003862376921640896
8,30,0.1934105182838735,0.03115960667385404,0.01677241443331521,0.0003351432212331122
8,31,1.1190690580657794,0.06193891877982695,0.0010670188805475711,0.03739252569764894
8,32,3.251826853227637,0.7544253939898298,0.43751993177326115,0.7073568265801622
8,33,0.05985912191167081,0.20557969732617717,0.25493327169009994,0.012474748625955344
8,34,0.2974962409395175,0.005874801750536914,0.015163765940984406,0.005961343430332487
8,35,0.3275922105661418,0.6389602251766616,0.5412412471098679,0.12401192815330694
8,36,0.5203989719347668,0.2858324048058848,0.424368396145983,1.5167778949261375
8,37,0.13451345704602707,0.7917383413704181,0.769559827440492,0.1902031788339713
8,38,0.8431165491541502,0.1310015020573982,0.11748459912439549,0.9595581934569115
8,39,2.380809918296976,0.18212480850894067,0.09937271084828911,1.0171046917101743
8,40,0.3239540785326043,0.6838122812119134,0.6555119184419496,0.27545546844036606
8,41,0.01494660707881804,0.3498048975951261,0.4366085237155482,0.009639425427242217
8,42,1.8481574675184962,0.36319557414269754,0.5970756744428921,0.5829070633735322
8,43,0.4369150545179132,0.47421205050675985,0.13164107934642597,1.231614304883331
8,44,1.0639828194436434,0.14842010741323075,0.38613780997116914,1.1510154755585549
8,45,0.10367887036743616,0.1750319117828741,0.29715150009533003,5.15294449295275
8,46,1.1973145948538197,0.03894959632337343,0.10609224450494913,6.003207525050509
8,47,0.7255754020930288,0.00641736529585457,0.0021083867587402666,1.280299025196147
8,48,1.1414850715511993,1.0442248092242705,1.1949551860160634,2.1407271766895986
8,49,0.7890526386160193,0.02065719143526533,0.15461151305022647,1.5254430567142143
8,50,5.269033312994341,5.236029332006468,4.401842258192237,7.82018045106692
8,51,0.724264686560252,0.09950529847972721,0.09595883186316209,0.546521455852644
8,52,1.265473811442355,0.5635307831662859,1.4681468406989548,2.7645089370471885
8,53,0.057514845506551,0.7362222891584661,0.7081667612479547,0.11191570740224867
8,54,0.3373813883341667,0.06410615166121537,0.3183446244242907,0.2179167326127606
8,55,0.35003049427512906,1.0758001262746697,0.9801270663475306,1.4532293686494895
8,56,3.215991745543388,2.0794462844806842,3.299481433907812,0.034819417193635446
8,57,0.6466816740867617,0.41685827139713594,0.22026065715593124,0.5350330660628356
8,58,0.25136534045575804,0.5843998333347602,0.6803862896639363,0.5686020590283095
8,59,0.032135378444870376,0.2503841099525881,0.40029577826119284,4.927525549437362
8,60,0.026915345054943,0.001778909460307042,0.003999776845438601,0.3756675421928807
8,61,1.6605544007181785,0.8156638777400488,0.9316048038579191,0.6516834693394138
8,62,0.5385105296158553,0.8134009214532752,1.0667737355520157,0.8343777141151603
8,63,0.16109015439113136,0.6424232053346766,0.8120328851060895,2.567601274596429
8,64,0.1900851129538366,0.08558174494524874,0.07178048793053403,13.116237406321709
8,65,2.5234857210807586,3.601165539410413,3.115223515148898,0.942801842992394
8,66,0.8267519516610317,0.1918252761465588,0.32905523589549857,0.7215236739858579
8,67,0.228973495295013,0.023093737716545677,0.0704526710864582,0.0016439026065310774
8,68,0.15839410182723485,0.0006523455047963565,0.04057226339118948,0.15992733148067959
8,69,0.23182353444411993,0.09107648575843962,0.14756612471669683,0.05304117403485088
8,70,0.14270727034052283,0.3358263631317958,0.4472570472553237,0.2595824909171063
8,71,0.4760311607890925,0.0070709603369336444,0.002320983149661926,1.4659975843379454
8,72,0.49118903369438566,0.008450425477935546,0.011292282633109801,1.629640423019561
8,73,0.5726557784787929,0.2591442480816275,0.004688294307059547,3.2580404044989435
8,74,0.2095485720854464,0.023183400997433625,0.0011176272803858393,43.41595584313344
8,75,3.4084056762823907,1.1238058161409477,1.7815748166069931,0.025798774556109686
8,76,5.892949319453414,6.582295275570807,6.082421512691157,7.976026599991444
8,77,0.23317487788469138,1.7594309952233886,1.2840482819865107,7.363800100183201
8,78,2.8006734367122683,1.7853848699136794,1.9160172184625521,2.1317275921345322
8,79,0.30443403615369663,0.4755532467041205,0.19249830059258477,15.186012865730367
8,80,1.064728984852702,1.5561467257529635,1.0002012726311458,4.198275636325998
8,81,0.4486168645226804,0.11967976481068744,0.12501503035711056,0.054402038555571616
8,82,0.05802817265835022,0.38736391089345884,0.34707676809018845,0.9178778077513309
8,83,0.012698876972586134,1.9205263491695106,1.0738625744542676,1.7320805127131131
8,84,0.23045773663372182,0.38152571000522145,0.13742074544386873,1.342291704262722
8,85,0.040915619388692696,0.011644412533715969,0.08948773771548302,0.12961279558407787
8,86,2.048430153152335,1.5663497227970073,1.190818096784315,0.38648841317930455
8,87,0.32958097160339367,0.08883768729329004,0.003052554348476693,0.5452689654958837
8,88,0.9242102348136839,0.2819259129759605,0.2890794362055088,1.141401922450254
