n_repeats,n_bootstrap_samples,DesisionTreeRegressor_mse,SVR_mse,KNeighborsRegressor_mse,MLPRegressor_mse
0,0,0.01860108803784639,0.025458701553555403,0.02690507229338674,0.16471180431759996
0,1,0.018601088037846384,0.025458701553555403,0.02690507229338674,0.07764466918384212
0,2,0.018601088037846387,0.025458701553555403,0.02690507229338674,0.14113371488444515
0,3,0.018601088037846394,0.025458701553555403,0.02690507229338674,0.10562225611886389
0,4,0.01860108803784639,0.025458701553555403,0.02690507229338674,0.13705034908560443
1,0,0.026113623491974262,0.025548005204105186,0.02699693311144418,2.901450964565138
1,1,0.026113623491974283,0.025548005204105186,0.02699693311144418,0.25424043140238156
1,2,0.02611362349197427,0.025548005204105186,0.02699693311144418,0.7923945195526645
1,3,0.026113623491974273,0.025548005204105186,0.02699693311144418,1111.9783602335697
1,4,0.026113623491974252,0.025548005204105186,0.02699693311144418,0.45944251786162316
2,0,0.019558318545923596,0.022913578674303103,0.028359861260818214,0.07982276278325652
2,1,0.019535458771791466,0.022913578674303103,0.028359861260818214,0.10277900417885752
2,2,0.020302372716321283,0.022913578674303103,0.028359861260818214,0.19361469655009902
2,3,0.020302372716321265,0.022913578674303103,0.028359861260818214,0.6729324197798424
2,4,0.020302372716321283,0.022913578674303103,0.028359861260818214,0.12065393160112768
3,0,0.02008629848386523,0.026691955027953324,0.031045591420272033,0.07320873350916297
3,1,0.020213672994877085,0.026691955027953324,0.031045591420272033,0.12703527557220584
3,2,0.0208006114382045,0.026691955027953324,0.031045591420272033,0.10916947464329298
3,3,0.020213672994877085,0.026691955027953324,0.031045591420272033,0.10896330414956804
3,4,0.020673236927192647,0.026691955027953324,0.031045591420272033,0.07875584672102862
4,0,0.029480836517519447,0.030656957726573085,0.031775986611273926,18.4284730804905
4,1,0.029480836517519458,0.030656957726573085,0.031775986611273926,0.3469418543843287
4,2,0.029480836517519444,0.030656957726573085,0.031775986611273926,0.36882169988594043
4,3,0.029480836517519447,0.030656957726573085,0.031775986611273926,2.42287052879187
4,4,0.029480836517519447,0.030656957726573085,0.031775986611273926,0.5255698905603987
5,0,0.013914936236524391,0.018574412522418496,0.02218314095356894,0.10998463140984001
5,1,0.013926225017316532,0.018574412522418496,0.02218314095356894,0.1137567986751337
5,2,0.013914936236524386,0.018574412522418496,0.02218314095356894,0.07483256392718722
5,3,0.013831779025237563,0.018574412522418496,0.02218314095356894,0.09678012507281077
5,4,0.01397462972322519,0.018574412522418496,0.02218314095356894,0.08872067072936754
6,0,0.02185915531715401,0.02420654046192447,0.029186427920977587,0.14590020421773192
6,1,0.02185915531715401,0.02420654046192447,0.029186427920977587,0.10775036135891536
6,2,0.021859155317154003,0.02420654046192447,0.029186427920977587,0.5285218404997482
6,3,0.021859155317154003,0.02420654046192447,0.029186427920977587,0.15824856372341814
6,4,0.021859155317154003,0.02420654046192447,0.029186427920977587,0.21060151823857717
7,0,0.022199140695852982,0.026746680055275245,0.030109313508020645,0.46268366170601105
7,1,0.022199140695852996,0.026746680055275245,0.030109313508020645,0.13056177948199774
7,2,0.022199140695852992,0.026746680055275245,0.030109313508020645,0.5644504271053244
7,3,0.022199140695852975,0.026746680055275245,0.030109313508020645,0.44412723793622133
7,4,0.022199140695852985,0.026746680055275245,0.030109313508020645,1.4936867243261895
8,0,0.02505092936743827,0.022031671144289024,0.025121308248076655,0.12911141707545512
8,1,0.02505092936743827,0.022031671144289024,0.025121308248076655,0.11226788774659424
8,2,0.025050929367438263,0.022031671144289024,0.025121308248076655,0.17067049159254194
8,3,0.02447187245970048,0.022031671144289024,0.025121308248076655,0.48071340133374935
8,4,0.024471872459700488,0.022031671144289024,0.025121308248076655,0.13044035992341096
9,0,0.021905254873653777,0.021127470345142247,0.025042057290023543,0.11944656387124619
9,1,0.02179345425553153,0.021127470345142247,0.025042057290023543,0.07171739027804139
9,2,0.021781786493298833,0.021127470345142247,0.025042057290023543,0.2883724153207757
9,3,0.021781786493298837,0.021127470345142247,0.025042057290023543,0.1048068287750108
9,4,0.021781786493298812,0.021127470345142247,0.025042057290023543,0.08699753101475155
